Kepler_ID,Teff,kepmag,Log_G
1996682,5795,16.992,4.332
1996711,5658,15.749,4.281
1996719,5900,14.841,4.444
1996743,5648,14.749,4.259
1996760,5788,13.529,4.655
1996783,5783,16.591,4.345
1996785,5660,16.573,4.460
1996839,5785,15.750,4.458
1996970,5829,15.829,4.452
2009963,5780,15.430,4.316
2009990,5720,16.504,4.474
2010191,5803,14.603,4.408
2010256,5919,13.591,4.255
2010302,5672,15.383,4.456
2010312,5780,15.949,4.597
2010374,5863,15.731,4.609
2010379,5635,15.297,4.446
2010405,5887,16.898,4.449
2010431,5862,15.168,4.232
2010433,5809,16.680,4.352
2010449,5807,16.845,4.209
2010450,5708,16.748,4.528
2010501,5918,14.537,4.261
2010523,5628,15.871,4.466
2010561,5916,15.565,4.382
2010594,5784,14.663,4.367
2010614,5878,16.971,4.340
2010634,5701,16.803,4.380
2010664,5827,16.190,4.340
2010708,5891,16.919,4.288
2010716,5682,16.166,4.347
2010748,5842,15.986,4.426
2010772,5639,15.729,4.356
2010793,5888,16.703,4.459
2010854,5709,16.017,4.408
2010856,5846,16.891,4.308
2010984,5647,16.609,4.457
2011059,5835,14.555,4.488
2011063,5727,16.810,4.436
2011077,5872,15.251,4.393
2011095,5805,16.006,4.466
2011178,5714,14.433,4.604
2011247,5695,15.244,4.330
2011287,5679,15.835,4.460
2011289,5711,16.519,4.513
2011292,5912,16.995,4.299
2011336,5834,16.889,4.986
2011347,5783,14.692,4.408
2011352,5660,14.985,4.446
2011370,5774,15.596,4.394
